,label
Robin_public_Carolina,14
Robin_lodging_Dorthy,17
Robin_education_Zenia,14
Robin_office_Dina,8
Robin_education_Derick,16
Robin_education_Della,10
Robin_education_Leslie,3
Robin_office_Sammie,0
Robin_education_Mercedes,11
Robin_education_Julius,1
Robin_education_Lashandra,11
Robin_education_Lizbeth,14
Robin_office_Gayle,8
Robin_office_Shirlene,0
Robin_education_Madeline,5
Robin_lodging_Phillip,15
Robin_education_Jasper,14
Robin_office_Wai,18
Robin_education_Terrance,11
Robin_lodging_Elmer,2
Robin_office_Addie,0
Robin_education_Cecilia,15
Robin_education_Kiera,12
Robin_lodging_Pricilla,2
Robin_education_So,16
Robin_office_Maryann,14
Robin_office_Serena,12
Robin_education_Derrick,5
Robin_education_Megan,11
Robin_office_Adolph,8
Robin_office_Lindsay,10
Robin_education_Takako,14
Robin_lodging_Oliva,15
Robin_office_Victor,12
Robin_education_Margarito,16
Robin_public_Cami,8
Robin_education_Kristopher,14
Robin_education_Billi,9
Robin_lodging_Celia,17
Robin_office_Donald,8
Robin_assembly_Colleen,12
Robin_office_Soledad,0
Robin_education_Audrea,5
Robin_office_Saul,4
Robin_lodging_Donna,15
Robin_office_Antonina,5
Robin_office_Erma,9
Robin_office_Zelma,0
Robin_lodging_Renea,2
Robin_lodging_Armand,15
Robin_education_Karyl,10
Robin_lodging_Janie,2
Shrew_office_Sherill,1
Shrew_office_Rose,12
Shrew_office_Nora,18
Shrew_office_Katherine,13
Shrew_office_Ila,14
Shrew_office_Doug,0
Shrew_office_Doris,1
Shrew_office_Lin,5
Shrew_office_Kenneth,12
Mouse_health_Buddy,7
Mouse_health_Modesto,3
Mouse_lodging_Vicente,8
Mouse_health_Justin,3
Mouse_health_Ileana,12
Mouse_health_Estela,5
Mouse_science_Micheal,6
