,label
Robin_public_Carolina,1
Robin_lodging_Dorthy,0
Robin_education_Zenia,1
Robin_office_Dina,9
Robin_education_Derick,6
Robin_education_Della,10
Robin_education_Leslie,8
Robin_office_Sammie,1
Robin_education_Mercedes,13
Robin_education_Julius,6
Robin_education_Lashandra,13
Robin_education_Lizbeth,1
Robin_office_Gayle,9
Robin_office_Shirlene,1
Robin_education_Madeline,6
Robin_lodging_Phillip,14
Robin_education_Jasper,1
Robin_office_Wai,11
Robin_education_Terrance,13
Robin_lodging_Elmer,9
Robin_office_Addie,1
Robin_education_Cecilia,7
Robin_education_Kiera,7
Robin_lodging_Pricilla,14
Robin_education_So,2
Robin_office_Maryann,13
Robin_office_Serena,7
Robin_education_Derrick,6
Robin_education_Megan,13
Robin_office_Adolph,9
Robin_office_Lindsay,10
Robin_education_Takako,1
Robin_lodging_Oliva,14
Robin_office_Victor,7
Robin_education_Margarito,2
Robin_public_Cami,9
Robin_education_Kristopher,1
Robin_education_Billi,0
Robin_lodging_Celia,0
Robin_office_Donald,9
Robin_assembly_Colleen,7
Robin_office_Soledad,7
Robin_education_Audrea,13
Robin_office_Saul,4
Robin_lodging_Donna,14
Robin_office_Antonina,6
Robin_office_Erma,11
Robin_office_Zelma,1
Robin_lodging_Renea,9
Robin_lodging_Armand,14
Robin_education_Karyl,10
Robin_lodging_Janie,14
Shrew_office_Sherill,6
Shrew_office_Rose,7
Shrew_office_Nora,11
Shrew_office_Katherine,12
Shrew_office_Ila,1
Shrew_office_Doug,1
Shrew_office_Doris,13
Shrew_office_Lin,6
Shrew_office_Kenneth,7
Mouse_health_Buddy,5
Mouse_health_Modesto,2
Mouse_lodging_Vicente,9
Mouse_health_Justin,8
Mouse_health_Ileana,7
Mouse_health_Estela,6
Mouse_science_Micheal,3
