,label
Robin_public_Carolina,9
Robin_lodging_Dorthy,12
Robin_education_Zenia,9
Robin_office_Dina,3
Robin_education_Derick,0
Robin_education_Della,8
Robin_education_Leslie,5
Robin_office_Sammie,1
Robin_education_Mercedes,11
Robin_education_Julius,10
Robin_education_Lashandra,11
Robin_education_Lizbeth,3
Robin_office_Gayle,3
Robin_office_Shirlene,3
Robin_education_Madeline,0
Robin_lodging_Phillip,7
Robin_education_Jasper,9
Robin_office_Wai,10
Robin_education_Terrance,11
Robin_lodging_Elmer,7
Robin_office_Addie,3
Robin_education_Cecilia,1
Robin_education_Kiera,1
Robin_lodging_Pricilla,7
Robin_education_So,0
Robin_office_Maryann,9
Robin_office_Serena,1
Robin_education_Derrick,0
Robin_education_Megan,11
Robin_office_Adolph,3
Robin_office_Lindsay,8
Robin_education_Takako,9
Robin_lodging_Oliva,7
Robin_office_Victor,1
Robin_education_Margarito,0
Robin_public_Cami,3
Robin_education_Kristopher,9
Robin_education_Billi,12
Robin_lodging_Celia,7
Robin_office_Donald,3
Robin_assembly_Colleen,1
Robin_office_Soledad,1
Robin_education_Audrea,0
Robin_office_Saul,4
Robin_lodging_Donna,7
Robin_office_Antonina,0
Robin_office_Erma,12
Robin_office_Zelma,9
Robin_lodging_Renea,7
Robin_lodging_Armand,7
Robin_education_Karyl,8
Robin_lodging_Janie,7
Shrew_office_Sherill,10
Shrew_office_Rose,1
Shrew_office_Nora,10
Shrew_office_Katherine,13
Shrew_office_Ila,9
Shrew_office_Doug,9
Shrew_office_Doris,11
Shrew_office_Lin,0
Shrew_office_Kenneth,1
Mouse_health_Buddy,2
Mouse_health_Modesto,5
Mouse_lodging_Vicente,3
Mouse_health_Justin,5
Mouse_health_Ileana,1
Mouse_health_Estela,0
Mouse_science_Micheal,6
