,label
Robin_public_Carolina,1
Robin_lodging_Dorthy,0
Robin_education_Zenia,1
Robin_office_Dina,2
Robin_education_Derick,9
Robin_education_Della,11
Robin_education_Leslie,3
Robin_office_Sammie,10
Robin_education_Mercedes,1
Robin_education_Julius,9
Robin_education_Lashandra,1
Robin_education_Lizbeth,1
Robin_office_Gayle,2
Robin_office_Shirlene,10
Robin_education_Madeline,9
Robin_lodging_Phillip,2
Robin_education_Jasper,1
Robin_office_Wai,8
Robin_education_Terrance,1
Robin_lodging_Elmer,0
Robin_office_Addie,10
Robin_education_Cecilia,10
Robin_education_Kiera,10
Robin_lodging_Pricilla,2
Robin_education_So,9
Robin_office_Maryann,1
Robin_office_Serena,8
Robin_education_Derrick,9
Robin_education_Megan,1
Robin_office_Adolph,2
Robin_office_Lindsay,11
Robin_education_Takako,1
Robin_lodging_Oliva,0
Robin_office_Victor,10
Robin_education_Margarito,3
Robin_public_Cami,2
Robin_education_Kristopher,1
Robin_education_Billi,8
Robin_lodging_Celia,0
Robin_office_Donald,2
Robin_assembly_Colleen,10
Robin_office_Soledad,10
Robin_education_Audrea,1
Robin_office_Saul,7
Robin_lodging_Donna,2
Robin_office_Antonina,9
Robin_office_Erma,8
Robin_office_Zelma,1
Robin_lodging_Renea,2
Robin_lodging_Armand,2
Robin_education_Karyl,11
Robin_lodging_Janie,2
Shrew_office_Sherill,9
Shrew_office_Rose,10
Shrew_office_Nora,8
Shrew_office_Katherine,4
Shrew_office_Ila,1
Shrew_office_Doug,10
Shrew_office_Doris,1
Shrew_office_Lin,9
Shrew_office_Kenneth,10
Mouse_health_Buddy,6
Mouse_health_Modesto,3
Mouse_lodging_Vicente,2
Mouse_health_Justin,3
Mouse_health_Ileana,10
Mouse_health_Estela,9
Mouse_science_Micheal,5
