,label
Robin_public_Carolina,0
Robin_lodging_Dorthy,6
Robin_education_Zenia,0
Robin_office_Dina,8
Robin_education_Derick,7
Robin_education_Della,10
Robin_education_Leslie,2
Robin_office_Sammie,1
Robin_education_Mercedes,0
Robin_education_Julius,7
Robin_education_Lashandra,0
Robin_education_Lizbeth,4
Robin_office_Gayle,8
Robin_office_Shirlene,1
Robin_education_Madeline,7
Robin_lodging_Phillip,8
Robin_education_Jasper,0
Robin_office_Wai,6
Robin_education_Terrance,0
Robin_lodging_Elmer,8
Robin_office_Addie,4
Robin_education_Cecilia,1
Robin_education_Kiera,1
Robin_lodging_Pricilla,8
Robin_education_So,7
Robin_office_Maryann,0
Robin_office_Serena,1
Robin_education_Derrick,7
Robin_education_Megan,0
Robin_office_Adolph,4
Robin_office_Lindsay,10
Robin_education_Takako,0
Robin_lodging_Oliva,8
Robin_office_Victor,1
Robin_education_Margarito,7
Robin_public_Cami,8
Robin_education_Kristopher,0
Robin_education_Billi,6
Robin_lodging_Celia,8
Robin_office_Donald,8
Robin_assembly_Colleen,1
Robin_office_Soledad,1
Robin_education_Audrea,0
Robin_office_Saul,5
Robin_lodging_Donna,8
Robin_office_Antonina,7
Robin_office_Erma,6
Robin_office_Zelma,0
Robin_lodging_Renea,8
Robin_lodging_Armand,8
Robin_education_Karyl,10
Robin_lodging_Janie,8
Shrew_office_Sherill,7
Shrew_office_Rose,1
Shrew_office_Nora,6
Shrew_office_Katherine,4
Shrew_office_Ila,0
Shrew_office_Doug,1
Shrew_office_Doris,0
Shrew_office_Lin,7
Shrew_office_Kenneth,1
Mouse_health_Buddy,9
Mouse_health_Modesto,2
Mouse_lodging_Vicente,8
Mouse_health_Justin,2
Mouse_health_Ileana,1
Mouse_health_Estela,7
Mouse_science_Micheal,3
