,label
Robin_public_Carolina,1
Robin_lodging_Dorthy,7
Robin_education_Zenia,1
Robin_office_Dina,0
Robin_education_Derick,10
Robin_education_Della,12
Robin_education_Leslie,3
Robin_office_Sammie,2
Robin_education_Mercedes,1
Robin_education_Julius,10
Robin_education_Lashandra,1
Robin_education_Lizbeth,1
Robin_office_Gayle,0
Robin_office_Shirlene,2
Robin_education_Madeline,10
Robin_lodging_Phillip,8
Robin_education_Jasper,1
Robin_office_Wai,9
Robin_education_Terrance,1
Robin_lodging_Elmer,8
Robin_office_Addie,0
Robin_education_Cecilia,2
Robin_education_Kiera,2
Robin_lodging_Pricilla,8
Robin_education_So,10
Robin_office_Maryann,1
Robin_office_Serena,2
Robin_education_Derrick,10
Robin_education_Megan,1
Robin_office_Adolph,0
Robin_office_Lindsay,12
Robin_education_Takako,1
Robin_lodging_Oliva,8
Robin_office_Victor,2
Robin_education_Margarito,10
Robin_public_Cami,0
Robin_education_Kristopher,1
Robin_education_Billi,7
Robin_lodging_Celia,7
Robin_office_Donald,0
Robin_assembly_Colleen,2
Robin_office_Soledad,0
Robin_education_Audrea,1
Robin_office_Saul,5
Robin_lodging_Donna,8
Robin_office_Antonina,10
Robin_office_Erma,9
Robin_office_Zelma,1
Robin_lodging_Renea,8
Robin_lodging_Armand,8
Robin_education_Karyl,12
Robin_lodging_Janie,8
Shrew_office_Sherill,10
Shrew_office_Rose,2
Shrew_office_Nora,9
Shrew_office_Katherine,11
Shrew_office_Ila,1
Shrew_office_Doug,2
Shrew_office_Doris,1
Shrew_office_Lin,10
Shrew_office_Kenneth,2
Mouse_health_Buddy,6
Mouse_health_Modesto,3
Mouse_lodging_Vicente,0
Mouse_health_Justin,3
Mouse_health_Ileana,2
Mouse_health_Estela,10
Mouse_science_Micheal,4
