,label
Robin_public_Carolina,3
Robin_lodging_Dorthy,13
Robin_education_Zenia,3
Robin_office_Dina,17
Robin_education_Derick,11
Robin_education_Della,0
Robin_education_Leslie,10
Robin_office_Sammie,4
Robin_education_Mercedes,14
Robin_education_Julius,8
Robin_education_Lashandra,14
Robin_education_Lizbeth,4
Robin_office_Gayle,17
Robin_office_Shirlene,4
Robin_education_Madeline,11
Robin_lodging_Phillip,12
Robin_education_Jasper,3
Robin_office_Wai,15
Robin_education_Terrance,14
Robin_lodging_Elmer,17
Robin_office_Addie,4
Robin_education_Cecilia,4
Robin_education_Kiera,1
Robin_lodging_Pricilla,12
Robin_education_So,11
Robin_office_Maryann,3
Robin_office_Serena,1
Robin_education_Derrick,11
Robin_education_Megan,14
Robin_office_Adolph,17
Robin_office_Lindsay,0
Robin_education_Takako,3
Robin_lodging_Oliva,12
Robin_office_Victor,1
Robin_education_Margarito,2
Robin_public_Cami,17
Robin_education_Kristopher,3
Robin_education_Billi,9
Robin_lodging_Celia,13
Robin_office_Donald,17
Robin_assembly_Colleen,4
Robin_office_Soledad,17
Robin_education_Audrea,11
Robin_office_Saul,5
Robin_lodging_Donna,12
Robin_office_Antonina,11
Robin_office_Erma,9
Robin_office_Zelma,3
Robin_lodging_Renea,17
Robin_lodging_Armand,12
Robin_education_Karyl,0
Robin_lodging_Janie,12
Shrew_office_Sherill,8
Shrew_office_Rose,4
Shrew_office_Nora,15
Shrew_office_Katherine,16
Shrew_office_Ila,3
Shrew_office_Doug,4
Shrew_office_Doris,8
Shrew_office_Lin,11
Shrew_office_Kenneth,1
Mouse_health_Buddy,6
Mouse_health_Modesto,2
Mouse_lodging_Vicente,17
Mouse_health_Justin,10
Mouse_health_Ileana,1
Mouse_health_Estela,11
Mouse_science_Micheal,7
