,label
Robin_public_Carolina,11
Robin_lodging_Dorthy,14
Robin_education_Zenia,11
Robin_office_Dina,1
Robin_education_Derick,7
Robin_education_Della,6
Robin_education_Leslie,2
Robin_office_Sammie,8
Robin_education_Mercedes,0
Robin_education_Julius,13
Robin_education_Lashandra,0
Robin_education_Lizbeth,11
Robin_office_Gayle,1
Robin_office_Shirlene,8
Robin_education_Madeline,7
Robin_lodging_Phillip,12
Robin_education_Jasper,11
Robin_office_Wai,13
Robin_education_Terrance,0
Robin_lodging_Elmer,1
Robin_office_Addie,8
Robin_education_Cecilia,8
Robin_education_Kiera,8
Robin_lodging_Pricilla,12
Robin_education_So,7
Robin_office_Maryann,0
Robin_office_Serena,3
Robin_education_Derrick,7
Robin_education_Megan,0
Robin_office_Adolph,1
Robin_office_Lindsay,6
Robin_education_Takako,11
Robin_lodging_Oliva,12
Robin_office_Victor,8
Robin_education_Margarito,7
Robin_public_Cami,1
Robin_education_Kristopher,11
Robin_education_Billi,5
Robin_lodging_Celia,14
Robin_office_Donald,1
Robin_assembly_Colleen,8
Robin_office_Soledad,1
Robin_education_Audrea,0
Robin_office_Saul,4
Robin_lodging_Donna,12
Robin_office_Antonina,7
Robin_office_Erma,16
Robin_office_Zelma,11
Robin_lodging_Renea,1
Robin_lodging_Armand,12
Robin_education_Karyl,6
Robin_lodging_Janie,12
Shrew_office_Sherill,13
Shrew_office_Rose,8
Shrew_office_Nora,13
Shrew_office_Katherine,10
Shrew_office_Ila,11
Shrew_office_Doug,11
Shrew_office_Doris,0
Shrew_office_Lin,7
Shrew_office_Kenneth,3
Mouse_health_Buddy,15
Mouse_health_Modesto,2
Mouse_lodging_Vicente,1
Mouse_health_Justin,2
Mouse_health_Ileana,8
Mouse_health_Estela,7
Mouse_science_Micheal,9
