,label
Robin_public_Carolina,0
Robin_lodging_Dorthy,0
Robin_education_Zenia,0
Robin_office_Dina,0
Robin_education_Derick,1
Robin_education_Della,0
Robin_education_Leslie,1
Robin_office_Sammie,0
Robin_education_Mercedes,0
Robin_education_Julius,1
Robin_education_Lashandra,0
Robin_education_Lizbeth,0
Robin_office_Gayle,0
Robin_office_Shirlene,0
Robin_education_Madeline,1
Robin_lodging_Phillip,0
Robin_education_Jasper,0
Robin_office_Wai,0
Robin_education_Terrance,1
Robin_lodging_Elmer,0
Robin_office_Addie,0
Robin_education_Cecilia,0
Robin_education_Kiera,0
Robin_lodging_Pricilla,0
Robin_education_So,1
Robin_office_Maryann,0
Robin_office_Serena,0
Robin_education_Derrick,1
Robin_education_Megan,0
Robin_office_Adolph,0
Robin_office_Lindsay,0
Robin_education_Takako,0
Robin_lodging_Oliva,0
Robin_office_Victor,0
Robin_education_Margarito,1
Robin_public_Cami,0
Robin_education_Kristopher,0
Robin_education_Billi,0
Robin_lodging_Celia,0
Robin_office_Donald,0
Robin_assembly_Colleen,0
Robin_office_Soledad,0
Robin_education_Audrea,1
Robin_office_Saul,0
Robin_lodging_Donna,0
Robin_office_Antonina,1
Robin_office_Erma,0
Robin_office_Zelma,0
Robin_lodging_Renea,0
Robin_lodging_Armand,0
Robin_education_Karyl,0
Robin_lodging_Janie,0
Shrew_office_Sherill,1
Shrew_office_Rose,0
Shrew_office_Nora,0
Shrew_office_Katherine,0
Shrew_office_Ila,0
Shrew_office_Doug,0
Shrew_office_Doris,0
Shrew_office_Lin,1
Shrew_office_Kenneth,0
Mouse_health_Buddy,0
Mouse_health_Modesto,1
Mouse_lodging_Vicente,0
Mouse_health_Justin,1
Mouse_health_Ileana,0
Mouse_health_Estela,1
Mouse_science_Micheal,1
