,label
Robin_public_Carolina,3
Robin_lodging_Dorthy,5
Robin_education_Zenia,3
Robin_office_Dina,1
Robin_education_Derick,2
Robin_education_Della,7
Robin_education_Leslie,0
Robin_office_Sammie,1
Robin_education_Mercedes,3
Robin_education_Julius,2
Robin_education_Lashandra,3
Robin_education_Lizbeth,3
Robin_office_Gayle,1
Robin_office_Shirlene,1
Robin_education_Madeline,2
Robin_lodging_Phillip,1
Robin_education_Jasper,3
Robin_office_Wai,5
Robin_education_Terrance,3
Robin_lodging_Elmer,1
Robin_office_Addie,1
Robin_education_Cecilia,1
Robin_education_Kiera,5
Robin_lodging_Pricilla,1
Robin_education_So,2
Robin_office_Maryann,3
Robin_office_Serena,5
Robin_education_Derrick,2
Robin_education_Megan,3
Robin_office_Adolph,1
Robin_office_Lindsay,7
Robin_education_Takako,3
Robin_lodging_Oliva,1
Robin_office_Victor,5
Robin_education_Margarito,0
Robin_public_Cami,1
Robin_education_Kristopher,3
Robin_education_Billi,5
Robin_lodging_Celia,5
Robin_office_Donald,7
Robin_assembly_Colleen,1
Robin_office_Soledad,7
Robin_education_Audrea,2
Robin_office_Saul,4
Robin_lodging_Donna,1
Robin_office_Antonina,2
Robin_office_Erma,5
Robin_office_Zelma,3
Robin_lodging_Renea,1
Robin_lodging_Armand,1
Robin_education_Karyl,7
Robin_lodging_Janie,1
Shrew_office_Sherill,2
Shrew_office_Rose,1
Shrew_office_Nora,5
Shrew_office_Katherine,3
Shrew_office_Ila,3
Shrew_office_Doug,3
Shrew_office_Doris,3
Shrew_office_Lin,2
Shrew_office_Kenneth,3
Mouse_health_Buddy,8
Mouse_health_Modesto,0
Mouse_lodging_Vicente,1
Mouse_health_Justin,0
Mouse_health_Ileana,5
Mouse_health_Estela,2
Mouse_science_Micheal,6
