,label
Robin_public_Carolina,4
Robin_lodging_Dorthy,2
Robin_education_Zenia,4
Robin_office_Dina,2
Robin_education_Derick,1
Robin_education_Della,2
Robin_education_Leslie,1
Robin_office_Sammie,2
Robin_education_Mercedes,4
Robin_education_Julius,4
Robin_education_Lashandra,4
Robin_education_Lizbeth,4
Robin_office_Gayle,2
Robin_office_Shirlene,2
Robin_education_Madeline,4
Robin_lodging_Phillip,2
Robin_education_Jasper,4
Robin_office_Wai,3
Robin_education_Terrance,4
Robin_lodging_Elmer,2
Robin_office_Addie,2
Robin_education_Cecilia,2
Robin_education_Kiera,2
Robin_lodging_Pricilla,2
Robin_education_So,1
Robin_office_Maryann,4
Robin_office_Serena,3
Robin_education_Derrick,1
Robin_education_Megan,4
Robin_office_Adolph,2
Robin_office_Lindsay,2
Robin_education_Takako,4
Robin_lodging_Oliva,2
Robin_office_Victor,2
Robin_education_Margarito,1
Robin_public_Cami,2
Robin_education_Kristopher,4
Robin_education_Billi,3
Robin_lodging_Celia,2
Robin_office_Donald,2
Robin_assembly_Colleen,2
Robin_office_Soledad,2
Robin_education_Audrea,4
Robin_office_Saul,0
Robin_lodging_Donna,2
Robin_office_Antonina,1
Robin_office_Erma,3
Robin_office_Zelma,4
Robin_lodging_Renea,2
Robin_lodging_Armand,2
Robin_education_Karyl,2
Robin_lodging_Janie,2
Shrew_office_Sherill,4
Shrew_office_Rose,2
Shrew_office_Nora,3
Shrew_office_Katherine,0
Shrew_office_Ila,4
Shrew_office_Doug,2
Shrew_office_Doris,4
Shrew_office_Lin,4
Shrew_office_Kenneth,3
Mouse_health_Buddy,3
Mouse_health_Modesto,1
Mouse_lodging_Vicente,2
Mouse_health_Justin,1
Mouse_health_Ileana,3
Mouse_health_Estela,4
Mouse_science_Micheal,1
