location,label
Robin_public_Carolina,5
Robin_lodging_Dorthy,2
Robin_education_Zenia,5
Robin_office_Dina,5
Robin_education_Derick,4
Robin_education_Della,3
Robin_education_Leslie,5
Robin_office_Sammie,5
Robin_education_Mercedes,5
Robin_education_Julius,4
Robin_education_Lashandra,5
Robin_education_Lizbeth,1
Robin_office_Gayle,5
Robin_office_Shirlene,5
Robin_education_Madeline,5
Robin_lodging_Phillip,2
Robin_education_Jasper,4
Robin_office_Wai,4
Robin_education_Terrance,4
Robin_lodging_Elmer,2
Robin_office_Addie,4
Robin_education_Cecilia,5
Robin_education_Kiera,5
Robin_lodging_Pricilla,2
Robin_education_So,5
Robin_office_Maryann,4
Robin_office_Serena,4
Robin_education_Derrick,5
Robin_education_Megan,5
Robin_office_Adolph,5
Robin_office_Lindsay,5
Robin_education_Takako,4
Robin_lodging_Oliva,2
Robin_office_Victor,5
Robin_education_Margarito,5
Robin_public_Cami,5
Robin_education_Kristopher,4
Robin_education_Billi,4
Robin_lodging_Celia,2
Robin_office_Donald,5
Robin_assembly_Colleen,5
Robin_office_Soledad,5
Robin_education_Audrea,0
Robin_office_Saul,0
Robin_lodging_Donna,2
Robin_office_Antonina,4
Robin_office_Erma,4
Robin_office_Zelma,5
Robin_lodging_Renea,2
Robin_lodging_Armand,2
Robin_education_Karyl,5
Robin_lodging_Janie,2
Shrew_office_Sherill,4
Shrew_office_Rose,4
Shrew_office_Nora,4
Shrew_office_Katherine,4
Shrew_office_Ila,4
Shrew_office_Doug,4
Shrew_office_Doris,4
Shrew_office_Lin,4
Shrew_office_Kenneth,1
Mouse_health_Buddy,3
Mouse_health_Modesto,5
Mouse_lodging_Vicente,5
Mouse_health_Justin,5
Mouse_health_Ileana,5
Mouse_health_Estela,5
Mouse_science_Micheal,3
