location,label
Robin_public_Carolina,6
Robin_lodging_Dorthy,3
Robin_education_Zenia,6
Robin_office_Dina,6
Robin_education_Derick,4
Robin_education_Della,2
Robin_education_Leslie,1
Robin_office_Sammie,1
Robin_education_Mercedes,6
Robin_education_Julius,4
Robin_education_Lashandra,1
Robin_education_Lizbeth,5
Robin_office_Gayle,6
Robin_office_Shirlene,6
Robin_education_Madeline,6
Robin_lodging_Phillip,0
Robin_education_Jasper,4
Robin_office_Wai,4
Robin_education_Terrance,4
Robin_lodging_Elmer,0
Robin_office_Addie,4
Robin_education_Cecilia,6
Robin_education_Kiera,6
Robin_lodging_Pricilla,7
Robin_education_So,6
Robin_office_Maryann,4
Robin_office_Serena,4
Robin_education_Derrick,6
Robin_education_Megan,6
Robin_office_Adolph,6
Robin_office_Lindsay,6
Robin_education_Takako,4
Robin_lodging_Oliva,0
Robin_office_Victor,6
Robin_education_Margarito,6
Robin_public_Cami,6
Robin_education_Kristopher,4
Robin_education_Billi,4
Robin_lodging_Celia,0
Robin_office_Donald,6
Robin_assembly_Colleen,1
Robin_office_Soledad,1
Robin_education_Audrea,0
Robin_office_Saul,5
Robin_lodging_Donna,3
Robin_office_Antonina,4
Robin_office_Erma,5
Robin_office_Zelma,6
Robin_lodging_Renea,0
Robin_lodging_Armand,3
Robin_education_Karyl,6
Robin_lodging_Janie,7
Shrew_office_Sherill,4
Shrew_office_Rose,4
Shrew_office_Nora,4
Shrew_office_Katherine,4
Shrew_office_Ila,4
Shrew_office_Doug,4
Shrew_office_Doris,4
Shrew_office_Lin,4
Shrew_office_Kenneth,8
Mouse_health_Buddy,2
Mouse_health_Modesto,1
Mouse_lodging_Vicente,1
Mouse_health_Justin,5
Mouse_health_Ileana,6
Mouse_health_Estela,1
Mouse_science_Micheal,2
