location,label
Robin_public_Carolina,0
Robin_lodging_Dorthy,2
Robin_education_Zenia,0
Robin_office_Dina,0
Robin_education_Derick,0
Robin_education_Della,1
Robin_education_Leslie,0
Robin_office_Sammie,0
Robin_education_Mercedes,0
Robin_education_Julius,0
Robin_education_Lashandra,0
Robin_education_Lizbeth,0
Robin_office_Gayle,0
Robin_office_Shirlene,0
Robin_education_Madeline,0
Robin_lodging_Phillip,2
Robin_education_Jasper,0
Robin_office_Wai,0
Robin_education_Terrance,0
Robin_lodging_Elmer,2
Robin_office_Addie,0
Robin_education_Cecilia,0
Robin_education_Kiera,0
Robin_lodging_Pricilla,2
Robin_education_So,0
Robin_office_Maryann,0
Robin_office_Serena,0
Robin_education_Derrick,0
Robin_education_Megan,0
Robin_office_Adolph,0
Robin_office_Lindsay,0
Robin_education_Takako,0
Robin_lodging_Oliva,2
Robin_office_Victor,0
Robin_education_Margarito,0
Robin_public_Cami,0
Robin_education_Kristopher,0
Robin_education_Billi,0
Robin_lodging_Celia,2
Robin_office_Donald,0
Robin_assembly_Colleen,0
Robin_office_Soledad,0
Robin_education_Audrea,0
Robin_office_Saul,0
Robin_lodging_Donna,2
Robin_office_Antonina,0
Robin_office_Erma,0
Robin_office_Zelma,0
Robin_lodging_Renea,2
Robin_lodging_Armand,2
Robin_education_Karyl,0
Robin_lodging_Janie,2
Shrew_office_Sherill,0
Shrew_office_Rose,0
Shrew_office_Nora,0
Shrew_office_Katherine,0
Shrew_office_Ila,0
Shrew_office_Doug,0
Shrew_office_Doris,0
Shrew_office_Lin,0
Shrew_office_Kenneth,0
Mouse_health_Buddy,1
Mouse_health_Modesto,0
Mouse_lodging_Vicente,0
Mouse_health_Justin,0
Mouse_health_Ileana,0
Mouse_health_Estela,0
Mouse_science_Micheal,1
