location,label
Robin_public_Carolina,1
Robin_lodging_Dorthy,2
Robin_education_Zenia,1
Robin_office_Dina,1
Robin_education_Derick,1
Robin_education_Della,3
Robin_education_Leslie,1
Robin_office_Sammie,1
Robin_education_Mercedes,1
Robin_education_Julius,1
Robin_education_Lashandra,1
Robin_education_Lizbeth,0
Robin_office_Gayle,1
Robin_office_Shirlene,1
Robin_education_Madeline,1
Robin_lodging_Phillip,2
Robin_education_Jasper,1
Robin_office_Wai,1
Robin_education_Terrance,1
Robin_lodging_Elmer,2
Robin_office_Addie,1
Robin_education_Cecilia,1
Robin_education_Kiera,1
Robin_lodging_Pricilla,2
Robin_education_So,1
Robin_office_Maryann,1
Robin_office_Serena,1
Robin_education_Derrick,1
Robin_education_Megan,1
Robin_office_Adolph,1
Robin_office_Lindsay,1
Robin_education_Takako,1
Robin_lodging_Oliva,2
Robin_office_Victor,1
Robin_education_Margarito,1
Robin_public_Cami,1
Robin_education_Kristopher,1
Robin_education_Billi,1
Robin_lodging_Celia,2
Robin_office_Donald,1
Robin_assembly_Colleen,1
Robin_office_Soledad,1
Robin_education_Audrea,0
Robin_office_Saul,0
Robin_lodging_Donna,2
Robin_office_Antonina,1
Robin_office_Erma,0
Robin_office_Zelma,1
Robin_lodging_Renea,2
Robin_lodging_Armand,2
Robin_education_Karyl,1
Robin_lodging_Janie,2
Shrew_office_Sherill,1
Shrew_office_Rose,1
Shrew_office_Nora,1
Shrew_office_Katherine,1
Shrew_office_Ila,1
Shrew_office_Doug,1
Shrew_office_Doris,1
Shrew_office_Lin,1
Shrew_office_Kenneth,1
Mouse_health_Buddy,3
Mouse_health_Modesto,1
Mouse_lodging_Vicente,1
Mouse_health_Justin,0
Mouse_health_Ileana,1
Mouse_health_Estela,1
Mouse_science_Micheal,3
