,label
Robin_public_Carolina,2
Robin_lodging_Dorthy,2
Robin_education_Zenia,2
Robin_office_Dina,2
Robin_education_Derick,5
Robin_education_Della,4
Robin_education_Leslie,7
Robin_office_Sammie,2
Robin_education_Mercedes,0
Robin_education_Julius,5
Robin_education_Lashandra,0
Robin_education_Lizbeth,2
Robin_office_Gayle,2
Robin_office_Shirlene,2
Robin_education_Madeline,0
Robin_lodging_Phillip,2
Robin_education_Jasper,2
Robin_office_Wai,5
Robin_education_Terrance,0
Robin_lodging_Elmer,2
Robin_office_Addie,2
Robin_education_Cecilia,2
Robin_education_Kiera,2
Robin_lodging_Pricilla,2
Robin_education_So,0
Robin_office_Maryann,0
Robin_office_Serena,2
Robin_education_Derrick,0
Robin_education_Megan,0
Robin_office_Adolph,2
Robin_office_Lindsay,4
Robin_education_Takako,2
Robin_lodging_Oliva,2
Robin_office_Victor,2
Robin_education_Margarito,0
Robin_public_Cami,2
Robin_education_Kristopher,2
Robin_education_Billi,2
Robin_lodging_Celia,2
Robin_office_Donald,2
Robin_assembly_Colleen,2
Robin_office_Soledad,2
Robin_education_Audrea,0
Robin_office_Saul,2
Robin_lodging_Donna,2
Robin_office_Antonina,0
Robin_office_Erma,2
Robin_office_Zelma,2
Robin_lodging_Renea,2
Robin_lodging_Armand,2
Robin_education_Karyl,4
Robin_lodging_Janie,2
Shrew_office_Sherill,5
Shrew_office_Rose,2
Shrew_office_Nora,0
Shrew_office_Katherine,2
Shrew_office_Ila,2
Shrew_office_Doug,2
Shrew_office_Doris,0
Shrew_office_Lin,5
Shrew_office_Kenneth,2
Mouse_health_Buddy,6
Mouse_health_Modesto,1
Mouse_lodging_Vicente,2
Mouse_health_Justin,8
Mouse_health_Ileana,2
Mouse_health_Estela,5
Mouse_science_Micheal,3
