,label
Robin_public_Carolina,6
Robin_lodging_Dorthy,1
Robin_education_Zenia,6
Robin_office_Dina,9
Robin_education_Derick,2
Robin_education_Della,3
Robin_education_Leslie,7
Robin_office_Sammie,9
Robin_education_Mercedes,16
Robin_education_Julius,8
Robin_education_Lashandra,13
Robin_education_Lizbeth,6
Robin_office_Gayle,9
Robin_office_Shirlene,9
Robin_education_Madeline,16
Robin_lodging_Phillip,9
Robin_education_Jasper,6
Robin_office_Wai,8
Robin_education_Terrance,16
Robin_lodging_Elmer,1
Robin_office_Addie,9
Robin_education_Cecilia,9
Robin_education_Kiera,17
Robin_lodging_Pricilla,1
Robin_education_So,0
Robin_office_Maryann,16
Robin_office_Serena,17
Robin_education_Derrick,0
Robin_education_Megan,16
Robin_office_Adolph,9
Robin_office_Lindsay,3
Robin_education_Takako,6
Robin_lodging_Oliva,1
Robin_office_Victor,17
Robin_education_Margarito,0
Robin_public_Cami,9
Robin_education_Kristopher,6
Robin_education_Billi,17
Robin_lodging_Celia,1
Robin_office_Donald,6
Robin_assembly_Colleen,17
Robin_office_Soledad,17
Robin_education_Audrea,16
Robin_office_Saul,12
Robin_lodging_Donna,9
Robin_office_Antonina,0
Robin_office_Erma,17
Robin_office_Zelma,6
Robin_lodging_Renea,1
Robin_lodging_Armand,9
Robin_education_Karyl,3
Robin_lodging_Janie,1
Shrew_office_Sherill,15
Shrew_office_Rose,17
Shrew_office_Nora,14
Shrew_office_Katherine,6
Shrew_office_Ila,6
Shrew_office_Doug,9
Shrew_office_Doris,14
Shrew_office_Lin,8
Shrew_office_Kenneth,17
Mouse_health_Buddy,5
Mouse_health_Modesto,11
Mouse_lodging_Vicente,9
Mouse_health_Justin,10
Mouse_health_Ileana,17
Mouse_health_Estela,8
Mouse_science_Micheal,4
