,label
Robin_public_Carolina,2
Robin_lodging_Dorthy,16
Robin_education_Zenia,2
Robin_office_Dina,10
Robin_education_Derick,6
Robin_education_Della,0
Robin_education_Leslie,11
Robin_office_Sammie,10
Robin_education_Mercedes,17
Robin_education_Julius,8
Robin_education_Lashandra,14
Robin_education_Lizbeth,2
Robin_office_Gayle,10
Robin_office_Shirlene,10
Robin_education_Madeline,18
Robin_lodging_Phillip,10
Robin_education_Jasper,2
Robin_office_Wai,8
Robin_education_Terrance,18
Robin_lodging_Elmer,16
Robin_office_Addie,10
Robin_education_Cecilia,10
Robin_education_Kiera,7
Robin_lodging_Pricilla,16
Robin_education_So,3
Robin_office_Maryann,18
Robin_office_Serena,7
Robin_education_Derrick,3
Robin_education_Megan,18
Robin_office_Adolph,10
Robin_office_Lindsay,0
Robin_education_Takako,2
Robin_lodging_Oliva,16
Robin_office_Victor,7
Robin_education_Margarito,3
Robin_public_Cami,10
Robin_education_Kristopher,2
Robin_education_Billi,7
Robin_lodging_Celia,16
Robin_office_Donald,16
Robin_assembly_Colleen,7
Robin_office_Soledad,7
Robin_education_Audrea,17
Robin_office_Saul,13
Robin_lodging_Donna,10
Robin_office_Antonina,3
Robin_office_Erma,7
Robin_office_Zelma,2
Robin_lodging_Renea,16
Robin_lodging_Armand,10
Robin_education_Karyl,0
Robin_lodging_Janie,16
Shrew_office_Sherill,15
Shrew_office_Rose,7
Shrew_office_Nora,1
Shrew_office_Katherine,2
Shrew_office_Ila,2
Shrew_office_Doug,2
Shrew_office_Doris,18
Shrew_office_Lin,8
Shrew_office_Kenneth,7
Mouse_health_Buddy,4
Mouse_health_Modesto,12
Mouse_lodging_Vicente,10
Mouse_health_Justin,9
Mouse_health_Ileana,7
Mouse_health_Estela,8
Mouse_science_Micheal,5
