,label
Robin_public_Carolina,5
Robin_lodging_Dorthy,1
Robin_education_Zenia,5
Robin_office_Dina,1
Robin_education_Derick,0
Robin_education_Della,2
Robin_education_Leslie,6
Robin_office_Sammie,1
Robin_education_Mercedes,5
Robin_education_Julius,7
Robin_education_Lashandra,5
Robin_education_Lizbeth,1
Robin_office_Gayle,1
Robin_office_Shirlene,1
Robin_education_Madeline,11
Robin_lodging_Phillip,1
Robin_education_Jasper,5
Robin_office_Wai,7
Robin_education_Terrance,5
Robin_lodging_Elmer,1
Robin_office_Addie,1
Robin_education_Cecilia,1
Robin_education_Kiera,1
Robin_lodging_Pricilla,1
Robin_education_So,11
Robin_office_Maryann,5
Robin_office_Serena,1
Robin_education_Derrick,11
Robin_education_Megan,5
Robin_office_Adolph,1
Robin_office_Lindsay,2
Robin_education_Takako,5
Robin_lodging_Oliva,1
Robin_office_Victor,1
Robin_education_Margarito,11
Robin_public_Cami,1
Robin_education_Kristopher,5
Robin_education_Billi,1
Robin_lodging_Celia,1
Robin_office_Donald,5
Robin_assembly_Colleen,1
Robin_office_Soledad,1
Robin_education_Audrea,5
Robin_office_Saul,8
Robin_lodging_Donna,1
Robin_office_Antonina,11
Robin_office_Erma,1
Robin_office_Zelma,5
Robin_lodging_Renea,1
Robin_lodging_Armand,1
Robin_education_Karyl,2
Robin_lodging_Janie,1
Shrew_office_Sherill,0
Shrew_office_Rose,1
Shrew_office_Nora,5
Shrew_office_Katherine,1
Shrew_office_Ila,5
Shrew_office_Doug,1
Shrew_office_Doris,5
Shrew_office_Lin,7
Shrew_office_Kenneth,1
Mouse_health_Buddy,9
Mouse_health_Modesto,10
Mouse_lodging_Vicente,1
Mouse_health_Justin,3
Mouse_health_Ileana,1
Mouse_health_Estela,7
Mouse_science_Micheal,4
