,label
Robin_public_Carolina,12
Robin_lodging_Dorthy,14
Robin_education_Zenia,12
Robin_office_Dina,14
Robin_education_Derick,13
Robin_education_Della,5
Robin_education_Leslie,6
Robin_office_Sammie,0
Robin_education_Mercedes,11
Robin_education_Julius,1
Robin_education_Lashandra,16
Robin_education_Lizbeth,12
Robin_office_Gayle,14
Robin_office_Shirlene,0
Robin_education_Madeline,7
Robin_lodging_Phillip,14
Robin_education_Jasper,12
Robin_office_Wai,15
Robin_education_Terrance,7
Robin_lodging_Elmer,14
Robin_office_Addie,0
Robin_education_Cecilia,14
Robin_education_Kiera,0
Robin_lodging_Pricilla,14
Robin_education_So,10
Robin_office_Maryann,7
Robin_office_Serena,0
Robin_education_Derrick,10
Robin_education_Megan,7
Robin_office_Adolph,14
Robin_office_Lindsay,5
Robin_education_Takako,12
Robin_lodging_Oliva,14
Robin_office_Victor,0
Robin_education_Margarito,10
Robin_public_Cami,14
Robin_education_Kristopher,12
Robin_education_Billi,0
Robin_lodging_Celia,14
Robin_office_Donald,12
Robin_assembly_Colleen,0
Robin_office_Soledad,0
Robin_education_Audrea,11
Robin_office_Saul,8
Robin_lodging_Donna,14
Robin_office_Antonina,10
Robin_office_Erma,0
Robin_office_Zelma,12
Robin_lodging_Renea,14
Robin_lodging_Armand,14
Robin_education_Karyl,5
Robin_lodging_Janie,14
Shrew_office_Sherill,15
Shrew_office_Rose,0
Shrew_office_Nora,7
Shrew_office_Katherine,12
Shrew_office_Ila,12
Shrew_office_Doug,0
Shrew_office_Doris,7
Shrew_office_Lin,1
Shrew_office_Kenneth,0
Mouse_health_Buddy,4
Mouse_health_Modesto,9
Mouse_lodging_Vicente,14
Mouse_health_Justin,3
Mouse_health_Ileana,0
Mouse_health_Estela,1
Mouse_science_Micheal,2
