,label
Robin_public_Carolina,1
Robin_lodging_Dorthy,6
Robin_education_Zenia,1
Robin_office_Dina,6
Robin_education_Derick,2
Robin_education_Della,5
Robin_education_Leslie,0
Robin_office_Sammie,6
Robin_education_Mercedes,1
Robin_education_Julius,2
Robin_education_Lashandra,1
Robin_education_Lizbeth,6
Robin_office_Gayle,6
Robin_office_Shirlene,6
Robin_education_Madeline,8
Robin_lodging_Phillip,6
Robin_education_Jasper,1
Robin_office_Wai,2
Robin_education_Terrance,1
Robin_lodging_Elmer,6
Robin_office_Addie,6
Robin_education_Cecilia,6
Robin_education_Kiera,6
Robin_lodging_Pricilla,6
Robin_education_So,8
Robin_office_Maryann,1
Robin_office_Serena,6
Robin_education_Derrick,8
Robin_education_Megan,1
Robin_office_Adolph,6
Robin_office_Lindsay,5
Robin_education_Takako,1
Robin_lodging_Oliva,6
Robin_office_Victor,6
Robin_education_Margarito,8
Robin_public_Cami,6
Robin_education_Kristopher,1
Robin_education_Billi,6
Robin_lodging_Celia,6
Robin_office_Donald,1
Robin_assembly_Colleen,6
Robin_office_Soledad,6
Robin_education_Audrea,1
Robin_office_Saul,10
Robin_lodging_Donna,6
Robin_office_Antonina,8
Robin_office_Erma,6
Robin_office_Zelma,1
Robin_lodging_Renea,6
Robin_lodging_Armand,6
Robin_education_Karyl,5
Robin_lodging_Janie,6
Shrew_office_Sherill,2
Shrew_office_Rose,6
Shrew_office_Nora,1
Shrew_office_Katherine,6
Shrew_office_Ila,1
Shrew_office_Doug,6
Shrew_office_Doris,1
Shrew_office_Lin,2
Shrew_office_Kenneth,6
Mouse_health_Buddy,3
Mouse_health_Modesto,9
Mouse_lodging_Vicente,6
Mouse_health_Justin,7
Mouse_health_Ileana,6
Mouse_health_Estela,2
Mouse_science_Micheal,4
