,label
Robin_public_Carolina,1
Robin_lodging_Dorthy,9
Robin_education_Zenia,1
Robin_office_Dina,4
Robin_education_Derick,12
Robin_education_Della,0
Robin_education_Leslie,6
Robin_office_Sammie,4
Robin_education_Mercedes,1
Robin_education_Julius,2
Robin_education_Lashandra,10
Robin_education_Lizbeth,1
Robin_office_Gayle,4
Robin_office_Shirlene,4
Robin_education_Madeline,8
Robin_lodging_Phillip,4
Robin_education_Jasper,1
Robin_office_Wai,2
Robin_education_Terrance,13
Robin_lodging_Elmer,4
Robin_office_Addie,4
Robin_education_Cecilia,4
Robin_education_Kiera,9
Robin_lodging_Pricilla,4
Robin_education_So,8
Robin_office_Maryann,13
Robin_office_Serena,9
Robin_education_Derrick,8
Robin_education_Megan,13
Robin_office_Adolph,4
Robin_office_Lindsay,0
Robin_education_Takako,1
Robin_lodging_Oliva,4
Robin_office_Victor,9
Robin_education_Margarito,8
Robin_public_Cami,4
Robin_education_Kristopher,1
Robin_education_Billi,9
Robin_lodging_Celia,9
Robin_office_Donald,4
Robin_assembly_Colleen,4
Robin_office_Soledad,4
Robin_education_Audrea,1
Robin_office_Saul,14
Robin_lodging_Donna,4
Robin_office_Antonina,8
Robin_office_Erma,9
Robin_office_Zelma,1
Robin_lodging_Renea,4
Robin_lodging_Armand,4
Robin_education_Karyl,0
Robin_lodging_Janie,4
Shrew_office_Sherill,2
Shrew_office_Rose,9
Shrew_office_Nora,13
Shrew_office_Katherine,1
Shrew_office_Ila,1
Shrew_office_Doug,4
Shrew_office_Doris,13
Shrew_office_Lin,2
Shrew_office_Kenneth,9
Mouse_health_Buddy,3
Mouse_health_Modesto,7
Mouse_lodging_Vicente,4
Mouse_health_Justin,11
Mouse_health_Ileana,9
Mouse_health_Estela,2
Mouse_science_Micheal,5
