,label
Robin_public_Carolina,14
Robin_lodging_Dorthy,8
Robin_education_Zenia,14
Robin_office_Dina,8
Robin_education_Derick,7
Robin_education_Della,9
Robin_education_Leslie,5
Robin_office_Sammie,0
Robin_education_Mercedes,6
Robin_education_Julius,1
Robin_education_Lashandra,13
Robin_education_Lizbeth,14
Robin_office_Gayle,8
Robin_office_Shirlene,0
Robin_education_Madeline,6
Robin_lodging_Phillip,8
Robin_education_Jasper,14
Robin_office_Wai,1
Robin_education_Terrance,6
Robin_lodging_Elmer,8
Robin_office_Addie,0
Robin_education_Cecilia,0
Robin_education_Kiera,0
Robin_lodging_Pricilla,8
Robin_education_So,10
Robin_office_Maryann,6
Robin_office_Serena,0
Robin_education_Derrick,10
Robin_education_Megan,6
Robin_office_Adolph,8
Robin_office_Lindsay,9
Robin_education_Takako,14
Robin_lodging_Oliva,8
Robin_office_Victor,0
Robin_education_Margarito,10
Robin_public_Cami,8
Robin_education_Kristopher,14
Robin_education_Billi,0
Robin_lodging_Celia,8
Robin_office_Donald,14
Robin_assembly_Colleen,0
Robin_office_Soledad,0
Robin_education_Audrea,14
Robin_office_Saul,12
Robin_lodging_Donna,8
Robin_office_Antonina,10
Robin_office_Erma,0
Robin_office_Zelma,14
Robin_lodging_Renea,8
Robin_lodging_Armand,8
Robin_education_Karyl,9
Robin_lodging_Janie,8
Shrew_office_Sherill,15
Shrew_office_Rose,0
Shrew_office_Nora,6
Shrew_office_Katherine,14
Shrew_office_Ila,14
Shrew_office_Doug,0
Shrew_office_Doris,6
Shrew_office_Lin,1
Shrew_office_Kenneth,0
Mouse_health_Buddy,3
Mouse_health_Modesto,11
Mouse_lodging_Vicente,8
Mouse_health_Justin,4
Mouse_health_Ileana,0
Mouse_health_Estela,1
Mouse_science_Micheal,2
